scenario,shield_mm_Al,mission_days,total_dose_Gy,dose_rate_mGy_day,ros_norm_day_end,mito_integrity_day_end,atp_proxy_day_end,fast_excitability_delta_day_end,slow_mito_atp_suppression_day_end,excitability_ratio_day_end,ltp_proxy_day_end,structural_neural_integrity_proxy_day_end,dose_rate_to_primary_validation_ratio,calibration_domain_flag,model_status
LEO_ISS_like,1.0,180,12.072,67.06666666666666,3.5863137750262277,0.03032413276959165,0.013631108478628019,0.03815724303916224,1.4688409748800526,0.0,0.0,0.0,67.06666666666666,outside_primary_validation_domain_high_dose_rate,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
LEO_ISS_like,2.0,180,4.4483,24.712777777777774,2.759093037775192,0.09199312260996659,0.05330125008376646,0.036248390443477226,1.4097665961463042,0.0,0.0,0.0011924348709632104,24.712777777777774,outside_primary_validation_domain_high_dose_rate,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
LEO_ISS_like,5.0,180,0.67828,3.768222222222222,1.327270144002564,0.6176754404476211,0.5532244976503798,0.029375524379425148,0.6653110920920831,0.3640644322873421,0.24717192378341843,0.5794429844923832,3.768222222222222,near_primary_validation_domain,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
LEO_ISS_like,10.0,180,0.27938,1.5521111111111112,0.79613841971406,0.817751864636399,0.7809723534599275,0.023618562878694706,0.32616274158179176,0.6974558212969029,0.6282431986030234,0.799527051100039,1.5521111111111112,near_primary_validation_domain,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
LEO_ISS_like,20.0,180,0.20255,1.1252777777777778,0.6406205187539654,0.8640257430373188,0.8356195060226138,0.021108928215073954,0.2447855027672241,0.7763234254478499,0.7179577549215074,0.8504283173410507,1.1252777777777778,near_primary_validation_domain,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
VAB_RBSP_like,1.0,180,25203.0,140016.6666666667,10.069004956031787,0.0018296083472930285,0.00043269642458750284,0.04302233879738523,1.4884952529041944,0.0,0.0,0.0,140016.6666666667,outside_primary_validation_domain_high_dose_rate,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
VAB_RBSP_like,2.0,180,6965.1,38695.0,8.97621283798533,0.0018296083472930285,0.00043269642458750284,0.04265604266779084,1.4884952529041944,0.0,0.0,0.0,38695.0,outside_primary_validation_domain_high_dose_rate,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
VAB_RBSP_like,5.0,180,409.61,2275.611111111111,6.5688606793967725,0.0018296083472930285,0.00043269642458750284,0.041463956551748976,1.4884952529041944,0.0,0.0,0.0,2275.611111111111,outside_primary_validation_domain_high_dose_rate,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
VAB_RBSP_like,10.0,180,33.784,187.68888888888887,4.452718019613302,0.010973983793859722,0.0039096793231979095,0.039507458474537786,1.483317539987317,0.0,0.0,0.0,187.68888888888887,outside_primary_validation_domain_high_dose_rate,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
VAB_RBSP_like,20.0,180,18.393,102.18333333333334,3.9398220430457123,0.020050310377999658,0.008199152778348808,0.038768223709871784,1.4769299152094635,0.0,0.0,0.0,102.18333333333334,outside_primary_validation_domain_high_dose_rate,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
