scenario,shield_mm_Al,day,dose_rate_mGy_day,ros_norm,mito_integrity,atp_proxy,fast_excitability_delta,slow_mito_atp_suppression,tau_eff_ms,v_threshold_eff_mV,drive_eff_mV,mean_firing_rate_hz,total_spikes,synchrony_proxy_cv_10ms_bins,isi_cv_mean,calibration_domain_flag,model_status
LEO_ISS_like,10.0,0.0,1.5521111111111112,0.0,1.0,1.0,0.0,0.0,20.0,-50.0,22.0,35.916666666666664,2155,0.24025967364276937,0.18817137363824996,timecourse_from_biology_layer,neural_scaffold_timecourse
LEO_ISS_like,10.0,15.0,1.5521111111111112,0.7961247030728076,0.9805647513578034,0.9761727163010866,0.0236183635906416,0.0354821516756008,19.309848154750725,-49.83320901410761,21.706682686659125,35.71666666666667,2143,0.2231332964358754,0.18180933823060377,timecourse_from_biology_layer,neural_scaffold_timecourse
LEO_ISS_like,10.0,30.0,1.5521111111111112,0.7961384194777366,0.9620140000438148,0.9535303241280731,0.0236185628752612,0.0691998344603127,18.696751992571127,-49.67471226889651,21.24840226335429,34.85,2091,0.20234642256546334,0.19584566372867704,timecourse_from_biology_layer,neural_scaffold_timecourse
LEO_ISS_like,10.0,45.0,1.5521111111111112,0.796138419714056,0.9443220876803898,0.9320290178053195,0.0236185628786946,0.101218281120361,18.149537195649252,-49.52420312463724,20.813215823409223,34.03333333333333,2042,0.24350064532483265,0.19738514742088067,timecourse_from_biology_layer,neural_scaffold_timecourse
LEO_ISS_like,10.0,60.0,1.5521111111111112,0.79613841971406,0.9274492530869652,0.9116087914170384,0.0236185628786947,0.1316268488410758,17.658690506241296,-49.38126153991927,20.399910441310418,33.11666666666667,1987,0.22981980181770728,0.20126730834447135,timecourse_from_biology_layer,neural_scaffold_timecourse
LEO_ISS_like,10.0,75.0,1.5521111111111112,0.79613841971406,0.9113575756374686,0.8922129394257072,0.0236185628786947,0.1605099800838245,17.21643639166691,-49.24549057597995,20.00733839700587,32.31666666666667,1939,0.24177716862942064,0.2022001550995601,timecourse_from_biology_layer,neural_scaffold_timecourse
LEO_ISS_like,10.0,90.0,1.5521111111111112,0.79613841971406,0.8960108903069824,0.8737878691681216,0.0236185628786947,0.1879474818055616,16.816357525763955,-49.116515084176854,19.634414974992335,31.233333333333334,1874,0.23033758703396526,0.22050761965396673,timecourse_from_biology_layer,neural_scaffold_timecourse
LEO_ISS_like,10.0,105.0,1.5521111111111112,0.79613841971406,0.8813747063931463,0.8562829238132109,0.0236185628786947,0.2140147890993581,16.45311057991503,-48.99398046669248,19.280114881008945,29.666666666666668,1780,0.2690770789697832,0.22823683221700566,timecourse_from_biology_layer,neural_scaffold_timecourse
LEO_ISS_like,10.0,120.0,1.5521111111111112,0.79613841971406,0.8674161300004907,0.8396502155040935,0.0236185628786947,0.2387832136691736,16.122210525062812,-48.877551508528654,18.94346886483241,29.166666666666668,1750,0.23678113547333438,0.22751573602955763,timecourse_from_biology_layer,neural_scaffold_timecourse
LEO_ISS_like,10.0,135.0,1.5521111111111112,0.79613841971406,0.8541037901134922,0.8238444681089006,0.0236185628786947,0.2623201779958309,15.819864920678738,-48.7669112767623,18.623560537553704,28.133333333333333,1688,0.25277263512628456,0.2335977185656723,timecourse_from_biology_layer,neural_scaffold_timecourse
LEO_ISS_like,10.0,150.0,1.5521111111111112,0.79613841971406,0.8414077680922059,0.80882286903641,0.0236185628786947,0.2846894360042241,15.542845177835273,-48.66176008325487,18.319523372326493,26.666666666666668,1600,0.2532599948511064,0.24961123271647484,timecourse_from_biology_layer,neural_scaffold_timecourse
LEO_ISS_like,10.0,165.0,1.5521111111111112,0.79613841971406,0.8292995304320168,0.7945449296022942,0.0236185628786947,0.3059512809974677,15.288385516240359,-48.561814507216056,18.03053787817999,26.25,1575,0.26230368846999513,0.25501115712493355,timecourse_from_biology_layer,neural_scaffold_timecourse
LEO_ISS_like,10.0,180.0,1.5521111111111112,0.79613841971406,0.817751864636399,0.7809723534599275,0.0236185628786947,0.3261627415817917,15.054102904938786,-48.466806474219496,17.755828937058492,24.9,1494,0.23375732681108244,0.2575887425208705,timecourse_from_biology_layer,neural_scaffold_timecourse
VAB_RBSP_like,10.0,0.0,187.68888888888887,0.0,1.0,1.0,0.0,0.0,20.0,-50.0,22.0,35.93333333333333,2156,0.2272556882682358,0.18446338116701938,timecourse_from_biology_layer,neural_scaffold_timecourse
VAB_RBSP_like,10.0,15.0,187.68888888888887,4.452641303888798,0.0759482246571942,0.04211733427984,0.0395073587737775,1.0,8.207404396728094,-43.29482133995888,2.9285137160141814,0.0,0,0.0,,timecourse_from_biology_layer,neural_scaffold_timecourse
VAB_RBSP_like,10.0,30.0,187.68888888888887,4.45271801829157,0.0151869438978376,0.0058280342423273,0.03950745847282,1.0,8.028072729661016,-43.04079623969629,2.1940190808472644,0.0,0,0.0,,timecourse_from_biology_layer,neural_scaffold_timecourse
VAB_RBSP_like,10.0,45.0,187.68888888888887,4.45271801961328,0.0112471540197907,0.0040295996116268,0.0395074584745377,1.0,8.019388955973485,-43.02820719728139,2.157618763935628,0.0,0,0.0,,timecourse_from_biology_layer,neural_scaffold_timecourse
VAB_RBSP_like,10.0,60.0,187.68888888888887,4.452718019613302,0.0109916962740332,0.0039174345055245,0.0395074584745377,1.0,8.018847987079484,-43.02742204153867,2.1553485421881176,0.0,0,0.0,,timecourse_from_biology_layer,neural_scaffold_timecourse
VAB_RBSP_like,10.0,75.0,187.68888888888887,4.452718019613302,0.0109751322790268,0.0039101820859546,0.0395074584745377,1.0,8.01881301139266,-43.027371274601684,2.155201753216023,0.0,0,0.0,,timecourse_from_biology_layer,neural_scaffold_timecourse
VAB_RBSP_like,10.0,90.0,187.68888888888887,4.452718019613302,0.0109740582621487,0.0039097119221938,0.0395074584745377,1.0,8.018810743980533,-43.027367983455356,2.155192237101504,0.0,0,0.0,,timecourse_from_biology_layer,neural_scaffold_timecourse
VAB_RBSP_like,10.0,105.0,187.68888888888887,4.452718019613302,0.0109739886224118,0.0039096814369276,0.0395074584745377,1.0,8.018810596962311,-43.02736777005849,2.1551916200797163,0.0,0,0.0,,timecourse_from_biology_layer,neural_scaffold_timecourse
