scenario,shield_mm_Al,day,dose_rate_mGy_day,ros_norm,mito_integrity,atp_proxy,fast_excitability_delta,slow_mito_atp_suppression,tau_eff_ms,v_threshold_eff_mV,drive_eff_mV,mean_firing_rate_hz,total_spikes,synchrony_proxy_cv_10ms_bins,isi_cv_mean,calibration_domain_flag,model_status
LEO_ISS_like,1.0,180.0,67.06666666666666,3.586313775026228,0.0303241327695916,0.013631108478628,0.0381572430391622,1.0,8.0659688578923,-43.0954177593504,2.3411515799207283,0.0,0,0.0,,outside_primary_validation_domain_high_dose_rate,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
LEO_ISS_like,2.0,180.0,24.712777777777774,2.759093037775192,0.0919931226099665,0.0533012500837664,0.0362483904434772,1.0,8.264298463502005,-43.37310875058637,3.1288044252432496,0.0,0,0.0,,outside_primary_validation_domain_high_dose_rate,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
LEO_ISS_like,5.0,180.0,3.768222222222222,1.327270144002564,0.6176754404476211,0.5532244976503798,0.0293755243794251,0.6653110920920831,11.974877280885794,-46.87257148355266,13.192268027479088,0.23125,37,2.2982509819875503,,near_primary_validation_domain,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
LEO_ISS_like,10.0,180.0,1.5521111111111112,0.79613841971406,0.817751864636399,0.7809723534599275,0.0236185628786947,0.3261627415817917,15.054102904938786,-48.466806474219496,17.755828937058492,24.9125,3986,0.2099901925995107,0.28043246750593387,near_primary_validation_domain,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
LEO_ISS_like,20.0,180.0,1.1252777777777778,0.6406205187539654,0.8640257430373188,0.8356195060226138,0.0211089282150739,0.2447855027672241,16.044015267436976,-48.8493365421583,18.841810227618293,29.11875,4659,0.2179946851994425,0.2280892301268465,near_primary_validation_domain,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
VAB_RBSP_like,1.0,180.0,140016.6666666667,10.069004956031788,0.001829608347293,0.0004326964245875,0.0430223387973852,1.0,8.00207748218949,-43.00302887497212,2.1129364860127327,0.0,0,0.0,,outside_primary_validation_domain_high_dose_rate,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
VAB_RBSP_like,2.0,180.0,38695.0,8.97621283798533,0.001829608347293,0.0004326964245875,0.0426560426677908,1.0,8.00207748218949,-43.00302887497212,2.1100061169759776,0.0,0,0.0,,outside_primary_validation_domain_high_dose_rate,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
VAB_RBSP_like,5.0,180.0,2275.611111111111,6.5688606793967725,0.001829608347293,0.0004326964245875,0.0414639565517489,1.0,8.00207748218949,-43.00302887497212,2.100469428047642,0.0,0,0.0,,outside_primary_validation_domain_high_dose_rate,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
VAB_RBSP_like,10.0,180.0,187.68888888888887,4.452718019613302,0.0109739837938597,0.0039096793231979,0.0395074584745377,1.0,8.018810586768637,-43.02736775526238,2.155191577297827,0.0,0,0.0,,outside_primary_validation_domain_high_dose_rate,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
VAB_RBSP_like,20.0,180.0,102.18333333333334,3.939822043045712,0.0200503103779996,0.0081991527783488,0.0387682237098717,1.0,8.039550501699612,-43.05739406944844,2.236096641912753,0.0,0,0.0,,outside_primary_validation_domain_high_dose_rate,calibrated_scaffold_absorbed_dose_only_not_validated_risk_claim
