scenario,shield_mm_Al,mission_days,total_dose_Gy,total_dose_rate_Gy_day,total_dose_rate_mGy_day,electron_dose_rate_mGy_day,brems_dose_rate_mGy_day,trapped_proton_dose_rate_mGy_day,ros_forcing_index_log01,forcing_regime_label,recommended_use
LEO_ISS_like,0.05,180.0,893.82,4.965666666666667,4965.666666666667,4855.833333333334,11.590000000000002,98.24444444444444,0.5416087423790407,extreme_model_forcing,baseline LEO comparison case
LEO_ISS_like,0.1,180.0,455.47,2.530388888888889,2530.388888888889,2478.777777777778,4.859277777777778,46.71277777777778,0.4987165838125353,extreme_model_forcing,baseline LEO comparison case
LEO_ISS_like,0.2,180.0,180.48,1.0026666666666666,1002.6666666666666,979.6111111111112,2.0633888888888885,20.98611111111111,0.4398426728534499,extreme_model_forcing,baseline LEO comparison case
LEO_ISS_like,0.3,180.0,91.288,0.5071555555555556,507.1555555555556,492.9000000000001,1.1820555555555554,13.074444444444444,0.3965275102623904,extreme_model_forcing,baseline LEO comparison case
LEO_ISS_like,0.4,180.0,54.574,0.3031888888888889,303.18888888888887,292.60555555555555,0.787,9.797222222222222,0.3638713442748046,extreme_model_forcing,baseline LEO comparison case
LEO_ISS_like,0.5,180.0,36.339,0.2018833333333333,201.88333333333333,193.32777777777775,0.5521722222222222,8.00388888888889,0.3380960023888954,extreme_model_forcing,baseline LEO comparison case
LEO_ISS_like,0.6,180.0,26.287,0.1460388888888888,146.0388888888889,138.86111111111111,0.4075222222222222,6.768888888888888,0.3176081130424871,extreme_model_forcing,baseline LEO comparison case
LEO_ISS_like,0.8,180.0,16.645,0.0924722222222222,92.4722222222222,87.00555555555556,0.2671111111111111,5.198111111111111,0.2887770921821977,high_model_forcing,baseline LEO comparison case
LEO_ISS_like,1.0,180.0,12.072,0.0670666666666666,67.06666666666666,62.583333333333336,0.2008,4.280388888888889,0.2685919583502983,high_model_forcing,baseline LEO comparison case
LEO_ISS_like,1.5,180.0,6.819800000000001,0.0378877777777777,37.887777777777785,34.529444444444444,0.1211944444444444,3.236944444444444,0.2329657851725849,high_model_forcing,baseline LEO comparison case
LEO_ISS_like,2.0,180.0,4.4483,0.0247127777777777,24.712777777777774,21.843333333333334,0.0818333333333333,2.7872777777777777,0.2066384172648956,high_model_forcing,baseline LEO comparison case
LEO_ISS_like,2.5,180.0,3.051,0.01695,16.95,14.37611111111111,0.0607166666666666,2.5132222222222222,0.1837663213955797,high_model_forcing,baseline LEO comparison case
LEO_ISS_like,3.0,180.0,2.1379,0.0118772222222222,11.877222222222224,9.50222222222222,0.0472405555555555,2.327944444444445,0.1626295529349827,high_model_forcing,baseline LEO comparison case
LEO_ISS_like,4.0,180.0,1.1423,0.0063461111111111,6.346111111111111,4.217555555555555,0.0322649999999999,2.096555555555556,0.1269091067888124,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,5.0,180.0,0.67828,0.0037682222222222,3.768222222222222,1.818111111111111,0.0251438888888888,1.9249444444444448,0.0994040425910374,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,6.0,180.0,0.46414,0.0025785555555555,2.578555555555556,0.7426666666666667,0.020570555555555,1.8153333333333328,0.0811384444017485,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,7.0,180.0,0.36566,0.0020314444444444,2.0314444444444444,0.2924722222222222,0.0177588888888888,1.7212222222222222,0.0705792891926986,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,8.0,180.0,0.31919,0.0017732777777777,1.7732777777777775,0.1094611111111111,0.0160127777777777,1.647833333333333,0.0649147355433611,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,9.0,180.0,0.29457,0.0016365,1.6364999999999998,0.0388827777777777,0.014675,1.5829444444444445,0.0616959721328308,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,10.0,180.0,0.27938,0.0015521111111111,1.5521111111111112,0.0129811111111111,0.0137011111111111,1.5254444444444444,0.0596256743506352,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,12.0,180.0,0.26205,0.0014558333333333,1.455833333333333,0.0011042222222222,0.0123755555555555,1.4423333333333337,0.0571784125010247,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,14.0,180.0,0.24372,0.001354,1.354,3.0025555555555557e-05,0.0114338888888883,1.3425,0.0544832484424891,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,16.0,180.0,0.22952,0.0012751111111111,1.275111111111111,2.499611111111112e-07,0.010705,1.2643888888888888,0.0523139432588799,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,18.0,180.0,0.21507,0.0011948333333333,1.1948333333333334,1.0322777777777775e-09,0.0101105555555555,1.1847222222222222,0.0500278166064312,moderate_model_forcing,baseline LEO comparison case
LEO_ISS_like,20.0,180.0,0.20255,0.0011252777777777,1.1252777777777778,0.0,0.0095855555555555,1.1157222222222216,0.0479783784926217,moderate_model_forcing,baseline LEO comparison case
VAB_RBSP_like,0.05,180.0,1200900.0,6671.666666666667,6671666.666666667,4319055.555555556,10806.111111111111,2342000.0,1.0,extreme_model_forcing,baseline LEO comparison case
