shield_mm_Al,total_dose_Gy_leo,leo_dose_rate_mGy_day,total_dose_Gy_vab,vab_dose_rate_mGy_day,vab_to_leo_total_dose_ratio
1.0,12.072,67.06666666666666,25203.0,140016.66666666666,2087.7236580516897
2.0,4.4483,24.712777777777774,6965.1,38695.0,1565.7891778881822
5.0,0.67828,3.768222222222222,409.61,2275.6111111111113,603.8951465471487
10.0,0.27938,1.552111111111111,33.784,187.6888888888889,120.92490514711147
20.0,0.20255,1.1252777777777778,18.393,102.18333333333334,90.80720809676625
