scenario,shield_mm_Al,day,dose_rate_mGy_day,ros_norm_R,mitochondrial_integrity_M,fast_redox_channel_stress,slow_mito_pump_stress,neural_risk_proxy_0to1
LEO_ISS_like,1.0,0,67.06666666666666,0.0,1.0,0.0,0.0,0.0
LEO_ISS_like,1.0,1,67.06666666666666,0.6343212268694635,1.0,0.6343212268694635,0.0,0.2537284907477854
LEO_ISS_like,1.0,2,67.06666666666666,0.7076987281643797,0.9904851815969581,0.7076987281643797,0.009514818403041914,0.28878838230757703
LEO_ISS_like,1.0,3,67.06666666666666,0.71618694748956,0.9799992495029397,0.71618694748956,0.020000750497060293,0.2984752292940602
LEO_ISS_like,1.0,4,67.06666666666666,0.7171688542871597,0.9695313116887774,0.7171688542871597,0.030468688311222625,0.30514875470159747
LEO_ISS_like,1.0,5,67.06666666666666,0.7172824400608346,0.9591929528537205,0.7172824400608346,0.040807047146279474,0.31139720431210155
LEO_ISS_like,1.0,6,67.06666666666666,0.7172955795237784,0.9489951900694783,0.7172955795237784,0.0510048099305217,0.3175211177678244
LEO_ISS_like,1.0,7,67.06666666666666,0.7172970994807314,0.9389375536768774,0.7172970994807314,0.06106244632312263,0.3235563075861661
LEO_ISS_like,1.0,8,67.06666666666666,0.7172972753074869,0.9290182832581574,0.7172972753074869,0.07098171674184262,0.3295079401681003
LEO_ISS_like,1.0,9,67.06666666666666,0.7172972956469102,0.9192354941590042,0.7172972956469102,0.08076450584099581,0.33537762176336156
LEO_ISS_like,1.0,10,67.06666666666666,0.7172972979997498,0.9095873106661836,0.7172972979997498,0.09041268933381641,0.34116653280018977
LEO_ISS_like,1.0,11,67.06666666666666,0.7172972982719233,0.9000718809306494,0.7172972982719233,0.09992811906935062,0.3468757907503797
LEO_ISS_like,1.0,12,67.06666666666666,0.717297298303408,0.8906873783612261,0.717297298303408,0.10931262163877387,0.3525064923046275
LEO_ISS_like,1.0,13,67.06666666666666,0.7172972983070502,0.8814320014741707,0.7172972983070502,0.11856799852582933,0.3580597184383177
LEO_ISS_like,1.0,14,67.06666666666666,0.7172972983074715,0.8723039735702662,0.7172972983074715,0.12769602642973377,0.36353653518082885
LEO_ISS_like,1.0,15,67.06666666666666,0.7172972983075202,0.8633015423963831,0.7172972983075202,0.13669845760361687,0.36893799388517823
LEO_ISS_like,1.0,16,67.06666666666666,0.7172972983075259,0.8544229798094094,0.7172972983075259,0.1455770201905906,0.3742651314373647
LEO_ISS_like,1.0,17,67.06666666666666,0.7172972983075265,0.8456665814445439,0.7172972983075265,0.15433341855545613,0.3795189704562843
LEO_ISS_like,1.0,18,67.06666666666666,0.7172972983075266,0.8370306663881233,0.7172972983075266,0.1629693336118767,0.38470051949013667
LEO_ISS_like,1.0,19,67.06666666666666,0.7172972983075266,0.8285135768549476,0.7172972983075266,0.17148642314505236,0.3898107732100421
LEO_ISS_like,1.0,20,67.06666666666666,0.7172972983075266,0.8201136778700454,0.7172972983075266,0.1798863221299546,0.3948507126009834
LEO_ISS_like,1.0,21,67.06666666666666,0.7172972983075266,0.8118293569548167,0.7172972983075266,0.18817064304518327,0.3998213051501206
LEO_ISS_like,1.0,22,67.06666666666666,0.7172972983075266,0.8036590238174959,0.7172972983075266,0.19634097618250412,0.40472350503251314
LEO_ISS_like,1.0,23,67.06666666666666,0.7172972983075266,0.795601110047872,0.7172972983075266,0.20439888995212796,0.4095582532942874
LEO_ISS_like,1.0,24,67.06666666666666,0.7172972983075266,0.7876540688162113,0.7172972983075266,0.21234593118378875,0.41432647803328393
LEO_ISS_like,1.0,25,67.06666666666666,0.7172972983075266,0.7798163745763206,0.7172972983075266,0.22018362542367942,0.4190290945772183
LEO_ISS_like,1.0,26,67.06666666666666,0.7172972983075266,0.7720865227726982,0.7172972983075266,0.22791347722730182,0.42366700565939175
LEO_ISS_like,1.0,27,67.06666666666666,0.7172972983075266,0.7644630295517124,0.7172972983075266,0.23553697044828759,0.42824110159198325
LEO_ISS_like,1.0,28,67.06666666666666,0.7172972983075266,0.7569444314767558,0.7172972983075266,0.24305556852324417,0.43275226043695714
LEO_ISS_like,1.0,29,67.06666666666666,0.7172972983075266,0.7495292852473175,0.7172972983075266,0.25047071475268246,0.43720134817462014
LEO_ISS_like,1.0,30,67.06666666666666,0.7172972983075266,0.7422161674219215,0.7172972983075266,0.25778383257807846,0.44158921886985775
LEO_ISS_like,1.0,31,67.06666666666666,0.7172972983075266,0.7350036741448771,0.7172972983075266,0.2649963258551229,0.4459167148360844
