filename,column_name,data_type,row_count,min,max,mean,nan_count
neural_endpoint_simulation_summary.csv,tau_eff_ms,float64,10,8.00207748218949,16.044015267436976,9.946785630969257,0
neural_endpoint_simulation_summary.csv,v_threshold_eff_mV,float64,10,-48.8493365421583,-43.00302887497212,-44.57510894594944,0
neural_endpoint_simulation_summary.csv,drive_eff_mV,float64,10,2.100469428047643,18.841810227618293,6.597456344756679,0
neural_endpoint_simulation_summary.csv,mean_firing_rate_hz,float64,10,0.0,29.11875,5.4262500000000005,0
neural_endpoint_simulation_summary.csv,total_spikes,int64,10,0.0,4659.0,868.2,0
neural_endpoint_simulation_summary.csv,synchrony_proxy_cv_10ms_bins,float64,10,0.0,2.2982509819875503,0.2726235859786504,0
neural_endpoint_simulation_summary.csv,isi_cv_mean,float64,10,0.2280892301268465,0.2804324675059338,0.25426084881639016,8
neural_endpoint_simulation_summary.csv,calibration_domain_flag,object,10,,,,0
neural_endpoint_simulation_summary.csv,model_status,object,10,,,,0
neural_timecourse_10mm_summary.csv,scenario,object,26,,,,0
neural_timecourse_10mm_summary.csv,shield_mm_Al,float64,26,10.0,10.0,10.0,0
neural_timecourse_10mm_summary.csv,day,float64,26,0.0,180.0,90.0,0
neural_timecourse_10mm_summary.csv,dose_rate_mGy_day,float64,26,1.5521111111111112,187.68888888888887,94.62049999999999,0
neural_timecourse_10mm_summary.csv,ros_norm,float64,26,0.0,4.452718019613302,2.4225456476155576,0
neural_timecourse_10mm_summary.csv,mito_integrity,float64,26,0.0109739837938597,1.0,0.4967015178883724,0
neural_timecourse_10mm_summary.csv,atp_proxy,float64,26,0.0039096793231979,1.0,0.4819472997160429,0
neural_timecourse_10mm_summary.csv,fast_excitability_delta,float64,26,0.0,0.0395074584745377,0.029135075278647084,0
neural_timecourse_10mm_summary.csv,slow_mito_atp_suppression,float64,26,0.0,1.0,0.5506887006667147,0
neural_timecourse_10mm_summary.csv,tau_eff_ms,float64,26,8.018810586768637,20.0,13.021243951832377,0
neural_timecourse_10mm_summary.csv,v_threshold_eff_mV,float64,26,-50.0,-43.02736775526238,-46.3736310980123,0
neural_timecourse_10mm_summary.csv,drive_eff_mV,float64,26,2.155191577297828,22.0,11.747693948481885,0
neural_timecourse_10mm_summary.csv,mean_firing_rate_hz,float64,26,0.0,35.93333333333333,16.842307692307692,0
neural_timecourse_10mm_summary.csv,total_spikes,int64,26,0.0,2156.0,1010.5384615384615,0
neural_timecourse_10mm_summary.csv,synchrony_proxy_cv_10ms_bins,float64,26,0.0,0.2690770789697832,0.12870700551614828,0
neural_timecourse_10mm_summary.csv,isi_cv_mean,float64,26,0.1818093382306037,0.2575887425208705,0.21594367188985306,12
neural_timecourse_10mm_summary.csv,calibration_domain_flag,object,26,,,,0
neural_timecourse_10mm_summary.csv,model_status,object,26,,,,0
scenario_interpretation_flags.csv,scenario,object,50,,,,0
scenario_interpretation_flags.csv,shield_mm_Al,float64,50,0.05,20.0,5.678,0
scenario_interpretation_flags.csv,dose_rate_mGy_day,float64,50,1.1252777777777778,6671666.666666667,281463.38671444444,0
scenario_interpretation_flags.csv,calibration_domain_flag,object,50,,,,0
scenario_interpretation_flags.csv,interpretation_class,object,50,,,,0
scenario_interpretation_flags.csv,recommended_user_message,object,50,,,,0
